chromosome	start	end
2L	183708	183708
2L	210938	210938
2L	217526	217526
2L	243904	243904
2L	252407	252407
2L	255460	255460
2L	277949	277949
2L	300437	300437
2L	314410	314410
2L	317513	317513
2L	330803	330803
2L	383541	383541
2L	396526	396526
2L	401937	401937
2L	413906	413906
2L	421360	421360
2L	429135	429135
2L	435691	435691
2L	438181	438181
2L	447666	447666
2L	449423	449423
2L	459604	459604
2L	484309	484309
2L	506804	506804
2L	510885	510885
2L	512403	512403
2L	552922	552922
2L	575532	575532
2L	579478	579478
2L	580025	580025
2L	580352	580352
2L	586785	586785
2L	586865	586865
2L	592102	592102
2L	596336	596336
2L	626373	626373
2L	646777	646777
2L	655907	655907
2L	685655	685655
2L	685658	685658
2L	761993	761993
2L	810138	810138
2L	815977	815977
2L	822347	822347
2L	822348	822348
2L	822435	822435
2L	827369	827369
2L	827966	827966
2L	849361	849361
2L	849487	849487
2L	849691	849691
2L	850512	850512
2L	860605	860605
2L	861334	861334
2L	867021	867021
2L	890446	890446
2L	901767	901767
2L	915564	915564
2L	967368	967368
2L	990394	990394
2L	990514	990514
2L	1006619	1006619
2L	1036362	1036362
2L	1037060	1037060
2L	1046395	1046395
2L	1083595	1083595
2L	1096937	1096937
2L	1159813	1159813
2L	1159917	1159917
2L	1166919	1166919
2L	1167111	1167111
2L	1167602	1167602
2L	1170781	1170781
2L	1185765	1185765
2L	1193098	1193098
2L	1195706	1195706
2L	1209306	1209306
2L	1209741	1209741
2L	1213064	1213064
2L	1213816	1213816
2L	1229682	1229682
2L	1257378	1257378
2L	1257624	1257624
2L	1258868	1258868
2L	1258977	1258977
2L	1259037	1259037
2L	1259040	1259040
2L	1275354	1275354
2L	1277163	1277163
2L	1283080	1283080
2L	1283093	1283093
2L	1283104	1283104
2L	1283540	1283540
2L	1287284	1287284
2L	1361190	1361190
2L	1371382	1371382
2L	1471330	1471330
2L	1471331	1471331
2L	1481914	1481914
2L	1482341	1482341
2L	1514515	1514515
2L	1526668	1526668
2L	1550386	1550386
2L	1613491	1613491
2L	1614394	1614394
2L	1624552	1624552
2L	1624950	1624950
2L	1626585	1626585
2L	1626586	1626586
2L	1627919	1627919
2L	1632608	1632608
2L	1633223	1633223
2L	1637734	1637734
2L	1638700	1638700
2L	1639570	1639570
2L	1639695	1639695
2L	1640766	1640766
2L	1654507	1654507
2L	1655466	1655466
2L	1661893	1661893
2L	1666154	1666154
2L	1675714	1675714
2L	1675719	1675719
2L	1675720	1675720
2L	1675897	1675897
2L	1675910	1675910
2L	1676324	1676324
2L	1676393	1676393
2L	1752127	1752127
2L	1752226	1752226
2L	1757407	1757407
2L	1757854	1757854
2L	1762973	1762973
2L	1773456	1773456
2L	1782654	1782654
2L	1786987	1786987
2L	1787218	1787218
2L	1787251	1787251
2L	1791838	1791838
2L	1793931	1793931
2L	1794489	1794489
2L	1794495	1794495
2L	1827512	1827512
2L	1828914	1828914
2L	1828989	1828989
2L	1829050	1829050
2L	1841349	1841349
2L	1841753	1841753
2L	1841845	1841845
2L	1841907	1841907
2L	1841914	1841914
2L	1841956	1841956
2L	1861427	1861427
2L	1861444	1861444
2L	1864121	1864121
2L	1892942	1892942
2L	1907843	1907843
2L	1908274	1908274
2L	1911645	1911645
2L	1911847	1911847
2L	1962437	1962437
2L	1962439	1962439
2L	1962577	1962577
2L	1968999	1968999
2L	1969019	1969019
2L	1973982	1973982
2L	1975262	1975262
2L	1990119	1990119
2L	3695567	3695567
2L	3765390	3765390
2L	3779186	3779186
2L	3789060	3789060
2L	3794624	3794624
2L	3794651	3794651
2L	3794675	3794675
2L	3803683	3803683
2L	3827911	3827911
2L	3840526	3840526
2L	3879734	3879734
2L	3880545	3880545
2L	3891422	3891422
2L	3893978	3893978
2L	5029797	5029797
2L	5081358	5081358
2L	18441683	18441683
2L	18641624	18641624
2L	18728862	18728862
2L	18748336	18748336
2L	18748349	18748349
2L	18775167	18775167
2L	18862049	18862049
2L	18888430	18888430
2L	18921025	18921025
2L	18934298	18934298
2L	18964736	18964736
2L	18985007	18985007
2L	18990210	18990210
2L	18990425	18990425
2L	18990459	18990459
2L	18991108	18991108
2L	18991159	18991159
2L	18992771	18992771
2L	18995624	18995624
2L	19119545	19119545
2L	19156918	19156918
2L	19158814	19158814
2L	19159541	19159541
2L	19159546	19159546
2L	19159562	19159562
2L	19159654	19159654
2L	19159662	19159662
2L	19160163	19160163
2L	19160356	19160356
2L	19181169	19181169
2L	19181171	19181171
2L	19181180	19181180
2L	19181232	19181232
2L	19300287	19300287
2L	19375992	19375992
2L	19557558	19557558
2L	19698593	19698593
2L	19727228	19727228
2L	19754969	19754969
2L	19850600	19850600
2L	19852918	19852918
2L	19859934	19859934
2L	19953004	19953004
2L	19953005	19953005
2L	19960969	19960969
2L	19961355	19961355
2L	20233783	20233783
2L	20259281	20259281
2L	20340885	20340885
2L	20350761	20350761
2L	20388042	20388042
2L	20400415	20400415
2L	20428480	20428480
2L	20463660	20463660
2L	20632522	20632522
2L	20664834	20664834
2L	20699730	20699730
2L	20750545	20750545
2L	20750546	20750546
2L	20752307	20752307
2L	20755178	20755178
2L	20755741	20755741
2L	20781251	20781251
2L	20796175	20796175
2L	20796181	20796181
2L	20802267	20802267
2L	20818472	20818472
2L	20818509	20818509
2L	20842256	20842256
2L	20842332	20842332
2L	20847352	20847352
2L	20850701	20850701
2L	20873839	20873839
2L	20909993	20909993
2L	20911171	20911171
2L	20937926	20937926
2L	20938022	20938022
2L	20938033	20938033
2L	20938072	20938072
2L	20938087	20938087
2L	20940321	20940321
2L	20952929	20952929
2L	20958231	20958231
2L	21038676	21038676
2L	21097307	21097307
2L	21106996	21106996
2L	21146521	21146521
2L	21203945	21203945
2L	21227763	21227763
2L	21868347	21868347
2L	22000740	22000740
2R	5122951	5122951
2R	5144566	5144566
2R	5144787	5144787
2R	5149514	5149514
2R	5149572	5149572
2R	5150265	5150265
2R	5150444	5150444
2R	5150799	5150799
2R	5152604	5152604
2R	5152836	5152836
2R	5153348	5153348
2R	5241472	5241472
